benchmark_set,algorithm,FM,AM,AR,FM_std,AM_std,AR_std
wut_z2,hierarchy_average,0.6758621557416811,0.719278966352056,0.5115299953338182,0.5957318393544949,0.6134029668292699,0.4031752202204558
wut_z3,hierarchy_average,0.9983306056777704,0.9949028944517512,0.9976177946910244,0.9715228122369765,0.9486699005308746,0.9588438326149652
fcps_atom,hierarchy_weighted,0.6463754720863856,0.22838472012582145,0.10828495098433973,0.5936079328674928,0.13194761877799518,0.15902137559385826
fcps_chainlink,hierarchy_weighted,0.6537181941562695,0.15389085029866226,0.04458148035797649,0.670778187027743,0.34463927353600177,0.2514405227901663
fcps_engytime,hierarchy_weighted,0.6589314026347668,0.13036121487616642,0.031860269191981025,0.5816933501494123,0.05307412288039196,0.048106792860145804
fcps_hepta,hierarchy_weighted,0.6925839028068195,0.8039146962577718,0.6273375918475503,0.6925839028068195,0.8039146962577718,0.6273375918475503
fcps_lsun,hierarchy_weighted,0.5742042270541484,0.4819763644007526,0.30650636528746644,0.6362197747348007,0.5430079040654393,0.4212769037179373
fcps_target,hierarchy_weighted,0.6840722312283917,0.4384999589403948,0.2994010586115,0.6577669486743922,0.33800310556342544,0.15519350233982895
fcps_tetra,hierarchy_weighted,0.6746901492001587,0.6306841243679504,0.5583757308969979,0.6746901492001587,0.6306841243679504,0.5583757308969979
fcps_twodiamonds,hierarchy_weighted,0.9974968750146852,0.9873803840988732,0.9949999922070802,0.5948255732208411,0.0932310983578943,0.08468854419085607
fcps_wingnut,hierarchy_weighted,1.0,1.0,1.0,0.6456892525269567,0.22499605812668733,0.28180075860266
graves_dense,hierarchy_weighted,0.6825224350327586,0.052778071581028214,0.004223973159667568,0.760381423456011,0.5182908225502509,0.5018070607383429
graves_fuzzyx,hierarchy_weighted,0.7010860013431485,0.7429109376332621,0.6149083738511012,0.6186617451417951,0.6788717190572802,0.4985696889583902
graves_line,hierarchy_weighted,0.5971795506196291,0.17548356259110676,-0.016703786191536656,0.5971795506196291,0.17548356259110676,-0.016703786191536656
graves_parabolic,hierarchy_weighted,0.8026895277999702,0.5295000959413014,0.6017832994976842,0.768949637288319,0.4340538487188254,0.5382939624880562
graves_ring,hierarchy_weighted,0.6511095270733998,0.27402739754400385,0.15946151688769586,0.6511095270733998,0.27402739754400385,0.15946151688769586
graves_zigzag,hierarchy_weighted,0.4969631610880576,0.3514734652994569,0.13236150817124856,0.4930580116785475,0.3610070797582061,0.13730584597120354
myOwn_3distr,hierarchy_weighted,1.0,1.0,1.0,1.0,1.0,1.0
myOwn_3hearts,hierarchy_weighted,0.6401709082565442,0.4527371713930278,0.4174974077198884,0.5465626749835937,0.3475970840369935,0.2389738868791109
myOwn_sinAndCos,hierarchy_weighted,0.5767998510138538,0.11506779793594267,0.1551235380533831,0.5893673404122455,0.13085635408334534,0.1681262372558173
other_iris,hierarchy_weighted,0.567491929998347,0.3703623210824095,0.29878302971858506,0.7280981400044388,0.6642160083264809,0.5417692099877502
other_iris5,hierarchy_weighted,0.4979287579992414,0.1952967804585357,0.10817128891722444,0.561516814652626,0.18294258034285787,0.17028635000483702
other_square,hierarchy_weighted,0.6628881664223366,0.3217628451886877,0.22033878440426927,0.6771388890947195,0.36083488715821227,0.27401394290267833
sipu_a1,hierarchy_weighted,0.8150213960722982,0.902972756111622,0.8040221080026753,0.6291712925079731,0.8231721847571172,0.6019299109290773
sipu_a2,hierarchy_weighted,0.8613841091137684,0.9334133764571564,0.8568777711487742,0.8069323001886177,0.9140111191253382,0.8001631272724138
sipu_a3,hierarchy_weighted,0.8532663870693552,0.9363478815298376,0.8495992722102848,0.8465711598205408,0.9342717098394658,0.8426527092745333
sipu_aggregation,hierarchy_weighted,0.7495887654336201,0.825241329278043,0.6825018568770556,0.8110981310380062,0.8892647353270242,0.7593957781071694
sipu_compound,hierarchy_weighted,0.8696764334509364,0.8359920893611985,0.8169715106410433,0.8596052916695683,0.8090693690421681,0.8006394662560096
sipu_d31,hierarchy_weighted,0.7844214743234806,0.9012436850803324,0.7753733110351753,0.7676020524493725,0.8944895054800873,0.7569882849980336
sipu_flame,hierarchy_weighted,0.7150870590858635,0.4165019823154848,0.4093456911099651,0.642460578758536,0.03566349544155276,0.0818232166035967
sipu_jain,hierarchy_weighted,0.7904496301828084,0.5041511826361034,0.5146169826822441,1.0,1.0,1.0
sipu_pathbased,hierarchy_weighted,0.5795248460865209,0.42543366901853596,0.35517544951083285,0.659785183998768,0.5394489102221575,0.4572396583573457
sipu_r15,hierarchy_weighted,0.9766828381828108,0.981418493642195,0.9750575336080468,0.9766828381828108,0.981418493642195,0.9750575336080468
sipu_s1,hierarchy_weighted,0.8186495066583173,0.9190234150498021,0.8016846410608346,0.8700127973372455,0.9324890017415006,0.8594921892753687
sipu_s2,hierarchy_weighted,0.7030016546071804,0.8324579656426416,0.6786365391079902,0.7913780880142338,0.8724462626964397,0.7738089605721381
sipu_s3,hierarchy_weighted,0.4697796214686756,0.6398953744256731,0.41892946122918695,0.5081093619101086,0.6720611711738312,0.4655979164978291
sipu_s4,hierarchy_weighted,0.4382970412819479,0.5895283714686853,0.3712970059576737,0.4539053031393393,0.6091833700156597,0.4037304639047508
sipu_spiral,hierarchy_weighted,0.3456924194346976,0.0038541545136514094,0.001710022441286031,0.33741989755963503,0.006805267000909344,0.007925570002921534
